"Location","Overall","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian/Pacific Islander","Multiple Races"
"United States","2.2","2.1","3.3","2.4","1.6","2.1","NSD","1.1"
"Alabama","3.4","2.6","5.8","N/A","N/A","N/A","N/A","N/A"
"Alaska","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Arizona","1.7","1.3","N/A","2.4","N/A","N/A","N/A","N/A"
"Arkansas","2.7","3","N/A","N/A","N/A","N/A","N/A","N/A"
"California","2.2","2","3","2.7","2","N/A","N/A","N/A"
"Colorado","1.8","1.7","N/A","N/A","N/A","N/A","N/A","N/A"
"Connecticut","1.4","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Delaware","NSD","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"District of Columbia","NSD","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Florida","2.8","3","4.3","2.2","N/A","N/A","N/A","N/A"
"Georgia","2.3","2.3","2.7","NSD","N/A","N/A","N/A","N/A"
"Hawaii","NSD","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Idaho","NSD","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Illinois","2.1","2","3.7","NSD","N/A","N/A","N/A","N/A"
"Indiana","2.7","2.5","NSD","N/A","N/A","N/A","N/A","N/A"
"Iowa","1.6","1.4","N/A","N/A","N/A","N/A","N/A","N/A"
"Kansas","2.6","2.6","N/A","N/A","N/A","N/A","N/A","N/A"
"Kentucky","2.6","2.6","N/A","N/A","N/A","N/A","N/A","N/A"
"Louisiana","2.5","1.9","4","N/A","N/A","N/A","N/A","N/A"
"Maine","NSD","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Maryland","1.8","1.7","2.2","N/A","N/A","N/A","N/A","N/A"
"Massachusetts","1","0.9","N/A","N/A","N/A","N/A","N/A","N/A"
"Michigan","1.9","1.8","3.2","N/A","N/A","N/A","N/A","N/A"
"Minnesota","1.4","1.3","N/A","N/A","N/A","N/A","N/A","N/A"
"Mississippi","3.3","3.3","3.4","N/A","N/A","N/A","N/A","N/A"
"Missouri","2.7","2.8","NSD","N/A","N/A","N/A","N/A","N/A"
"Montana","NSD","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Nebraska","2.1","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Nevada","2.2","2.2","N/A","N/A","N/A","N/A","N/A","N/A"
"New Hampshire","NSD","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Jersey","1.8","1.9","2.8","NSD","N/A","N/A","N/A","N/A"
"New Mexico","2.4","NSD","N/A","NSD","N/A","N/A","N/A","N/A"
"New York","1.7","1.4","3.1","1.6","2.1","N/A","N/A","N/A"
"North Carolina","1.9","1.5","2.9","NSD","N/A","N/A","N/A","N/A"
"North Dakota","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ohio","2.2","2.3","NSD","N/A","N/A","N/A","N/A","N/A"
"Oklahoma","3.8","3.7","N/A","N/A","N/A","N/A","N/A","N/A"
"Oregon","2.2","2.2","N/A","N/A","N/A","N/A","N/A","N/A"
"Pennsylvania","2.2","1.9","4.3","NSD","N/A","N/A","N/A","N/A"
"Rhode Island","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"South Carolina","2.1","2","2.5","N/A","N/A","N/A","N/A","N/A"
"South Dakota","NSD","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee","2.8","3","3.5","N/A","N/A","N/A","N/A","N/A"
"Texas","2.9","2.7","3.5","3.2","NSD","N/A","N/A","N/A"
"Utah","2.3","2.3","N/A","N/A","N/A","N/A","N/A","N/A"
"Vermont","NSD","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Virginia","2.2","2.3","2.6","N/A","N/A","N/A","N/A","N/A"
"Washington","1.8","1.7","N/A","N/A","N/A","N/A","N/A","N/A"
"West Virginia","2.6","2.8","N/A","N/A","N/A","N/A","N/A","N/A"
"Wisconsin","1.5","1.4","N/A","N/A","N/A","N/A","N/A","N/A"
"Wyoming","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
